,Save Me_Aimee Mann
0,look
1,like
2,perfect
3,fit
4,girl
5,need
6,tourniquet
7,save
8,come
9,save
10,could
11,save
12,ranks
13,freaks
14,suspect
15,could
16,never
17,love
18,anyone
19,'cause
20,tell
21,know
22,like
23,long
24,farewell
25,hunger
26,strike
27,save
28,come
29,save
30,could
31,save
32,ranks
33,freaks
34,suspect
35,could
36,never
37,love
38,anyone
39,struck
40,dumb
41,like
42,radium
43,like
44,peter
45,pan
46,superman
47,come
48,save
49,c'mon
50,save
51,could
52,save
53,ranks
54,freaks
55,suspect
56,could
57,never
58,love
59,anyone
60,'cept
61,freaks
62,suspect
63,could
64,never
65,love
66,anyone
67,freaks
68,suspect
69,could
70,never
71,love
72,anyone
73,c'mon
74,save
75,save
76,could
77,save
78,ranks
79,freaks
80,suspect
81,could
82,never
83,love
84,anyone
85,except
86,freaks
87,suspect
88,could
89,never
90,love
91,anyone
92,except
93,freaks
94,could
95,never
96,love
97,anyone
