,Beneath Your Beautiful_Labrinth
0,labrinth
1,tell
2,boys
3,makes
4,feel
5,good
6,yeah
7,know
8,league
9,scare
10,away
11,oh
12,carried
13,long
14,stop
15,tried
16,built
17,wall
18,high
19,one
20,could
21,climb
22,i'm
23,gonna
24,try
25,labrinth
26,would
27,let
28,see
29,beneath
30,beautiful
31,would
32,let
33,see
34,beneath
35,perfect
36,take
37,girl
38,take
39,girl
40,wanna
41,see
42,inside
43,would
44,let
45,see
46,beneath
47,beautiful
48,tonight
49,emeli
50,sandé
51,let
52,girls
53,go
54,makes
55,feel
56,good
57,behind
58,broadway
59,show
60,heard
61,boy
62,say
63,please
64,hurt
65,carried
66,long
67,stop
68,tried
69,built
70,wall
71,high
72,one
73,could
74,climb
75,i'm
76,gonna
77,try
78,emeli
79,sandé
80,would
81,let
82,see
83,beneath
84,beautiful
85,would
86,let
87,see
88,beneath
89,perfect
90,take
91,boy
92,take
93,boy
94,wanna
95,see
96,inside
97,would
98,let
99,see
100,beneath
101,beautiful
102,tonight
103,ohhh
104,tonight
105,see
106,beneath
107,see
108,beneath
109,itonight
110,labrinth
111,emeli
112,sandé
113,i'm
114,gonna
115,climb
116,top
117,ivory
118,tower
119,i'll
120,hold
121,hand
122,we'll
123,jump
124,right
125,we'll
126,falling
127,falling
128,that's
129,okay
130,'cause
131,i'll
132,right
133,wanna
134,know
135,labrinth
136,emeli
137,sandé
138,would
139,let
140,see
141,beneath
142,beautiful
143,would
144,let
145,see
146,beneath
147,perfect
148,take
149,girl
150,take
151,girl
152,'cause
153,wanna
154,see
155,inside
156,would
157,let
158,see
159,beneath
160,beautiful
161,tonight
162,oooh
163,oooh
164,ooh
165,tonight
166,see
167,beneath
168,beautiful
169,oh
170,tonight
171,ain't
172,perfect
173,ain't
174,perfect
175,would
176,let
177,see
178,beneath
179,beautiful
180,tonight
