,Mind Games_John Lennon
0,we're
1,playing
2,mind
3,games
4,together
5,pushing
6,barrier
7,planting
8,seed
9,playing
10,mind
11,guerilla
12,chanting
13,mantra
14,peace
15,earth
16,playing
17,mind
18,games
19,forever
20,kind
21,druid
22,dude
23,lifting
24,veil
25,mind
26,guerilla
27,call
28,magic
29,search
30,grail
31,love
32,answer
33,know
34,sure
35,love
36,flower
37,gotta
38,let
39,gotta
40,let
41,grow
42,keep
43,playing
44,mind
45,games
46,together
47,faith
48,future
49,can't
50,beat
51,mind
52,guerillas
53,absolute
54,elsewhere
55,stones
56,mind
57,yeah
58,we're
59,playing
60,mind
61,games
62,forever
63,projecting
64,images
65,space
66,time
67,yes
68,answer
69,know
70,sure
71,yes
72,surrender
73,gotta
74,let
75,gotta
76,let
77,go
78,keep
79,playing
80,mind
81,games
82,together
83,ritual
84,dance
85,sun
86,millions
87,mind
88,guerillas
89,putting
90,soul
91,power
92,karmic
93,wheel
94,keep
95,playing
96,mind
97,games
98,forever
99,raising
100,spirit
101,peace
102,love
103,love
104,want
105,make
106,love
107,war
108,know
109,heard
