,Mint Car_The Cure
0,oow
1,sun
2,i'm
3,happy
4,could
5,scream
6,there's
7,nowhere
8,else
9,world
10,i'd
11,rather
12,perfect
13,ever
14,wanted
15,oh
16,almost
17,can't
18,believe
19,real
20,pinch
21,quick
22,really
23,think
24,gets
25,better
26,vanilla
27,smile
28,gorgeous
29,strawberry
30,kiss
31,birds
32,sing
33,swing
34,clouds
35,drift
36,everything
37,like
38,dream
39,everything
40,wished
41,never
42,guessed
43,got
44,good
45,wondered
46,ever
47,would
48,really
49,think
50,could
51,know
52,sun
53,i'm
54,fizzy
55,could
56,burst
57,yeah
58,wet
59,headfirst
60,perfect
61,ever
62,wanted
63,ow
64,feels
65,big
66,almost
67,hurts
68,never
69,guessed
70,got
71,good
72,wondered
73,ever
74,would
75,really
76,think
77,could
78,know
79,say
80,always
81,like
82,two
83,us
84,together
85,always
86,like
87,forever
88,ever
89,ever
90,ever
91,ever
92,ever
93,ever
94,ever
95,ever
96,never
97,guessed
98,got
99,good
100,wondered
101,ever
102,would
103,really
104,think
105,could
106,time
107,know
