,Mirrorball_Elbow
0,plant
1,kind
2,kiss
3,wake
4,baby
5,selfsame
6,face
7,let
8,sleep
9,street
10,singing
11,feet
12,dawn
13,gives
14,shadow
15,know
16,taller
17,dear
18,everything
19,changed
20,sorry
21,name
22,made
23,graffiti
24,looking
25,someone
26,complete
27,anymore
28,dear
29,everything
30,changed
31,make
32,moon
33,mirrorball
34,street's
35,empty
36,stage
37,city's
38,sirens
39,violins
40,everything
41,changed
42,lift
43,love
44,lift
45,love
46,took
47,town
48,town
49,last
50,night
51,kissed
52,like
53,invented
54,know
55,every
56,step
57,lead
58,door
59,know
60,sleep
61,everything
62,changed
63,make
64,moon
65,mirrorball
66,street's
67,empty
68,stage
69,city's
70,sirens
71,violins
72,everything
73,changed
74,everything
75,changed
76,everything
77,changed
78,lift
79,love
80,lift
81,love
82,dear
83,lift
84,love
85,dear
86,lift
87,love
88,dear
89,lift
90,love
91,dear
92,lift
93,love
94,dear
95,lift
96,love
97,dear
