,Let Me Kiss You_Morrissey
0,there's
1,place
2,sun
3,anyone
4,chase
5,one
6,think
7,i've
8,found
9,mine
10,yes
11,believe
12,found
13,mine
14,close
15,eyes
16,think
17,someone
18,physically
19,admire
20,let
21,kiss
22,ohh
23,let
24,kiss
25,ohh
26,i've
27,zigzagged
28,america
29,cannot
30,find
31,safety
32,say
33,would
34,let
35,cry
36,shoulder
37,i've
38,heard
39,try
40,anything
41,twice
42,close
43,eyes
44,think
45,someone
46,physically
47,admire
48,let
49,kiss
50,ohh
51,let
52,kiss
53,ohh
54,open
55,eyes
56,see
57,someone
58,physically
59,despise
60,heart
61,open
62,heart
63,open
