,The Fragile_Nine Inch Nails
0,shines
1,world
2,full
3,ugliness
4,matters
5,everything
6,meaningless
7,fragile
8,see
9,beauty
10,tries
11,get
12,away
13,sometimes
14,nothing
15,seems
16,worth
17,saving
18,can't
19,watch
20,slip
21,away
22,let
23,fall
24,apart
25,let
26,fall
27,apart
28,let
29,fall
30,apart
31,let
32,fall
33,apart
34,reads
35,minds
36,people
37,pass
38,hoping
39,someone
40,see
41,could
42,fix
43,i'd
44,late
45,let
46,fall
47,apart
48,let
49,fall
50,apart
51,let
52,fall
53,apart
54,let
55,fall
56,apart
57,we'll
58,find
59,perfect
60,place
61,go
62,run
63,hide
64,i'll
65,build
66,wall
67,keep
68,side
69,keep
70,waiting
71,picking
72,picking
73,picking
74,picking
75,picking
76,picking
77,picking
78,picking
79,picking
80,something
81,let
82,fall
83,apart
84,let
85,fall
86,apart
87,everything
88,else
89,let
90,fall
91,apart
92,like
93,let
94,fall
95,apart
