,Come to Me_Björk
0,come
1,i'll
2,take
3,care
4,protect
5,calm
6,calm
7,exhausted
8,come
9,lie
10,explain
11,understand
12,know
13,adore
14,know
15,love
16,make
17,say
18,would
19,burst
20,bubble
21,break
22,charm
23,jump
24,building's
25,fire
26,i'll
27,catch
28,i'll
29,catch
30,destroy
31,keeping
32,i'll
33,nurse
34,i'll
35,nurse
36,i'll
37,protect
38,know
39,adore
40,know
41,love
42,make
43,say
44,would
45,burst
46,bubble
47,break
48,charm
