,Digital Love_Daft Punk
0,produced
1,daft
2,punk
3,last
4,night
5,dream
6,dream
7,i'm
8,dancing
9,right
10,beside
11,looked
12,like
13,everyone
14,fun
15,kind
16,feeling
17,i've
18,waited
19,long
20,stop
21,come
22,little
23,closer
24,jam
25,rhythm
26,gets
27,stronger
28,there's
29,nothing
30,wrong
31,little
32,little
33,fun
34,dancing
35,night
36,long
37,time
38,right
39,put
40,arms
41,around
42,feeling
43,right
44,wrap
45,arms
46,around
47,suddenly
48,feel
49,shining
50,sun
51,knew
52,dream
53,gone
54,ooh
55,know
56,dream
57,wish
58,dream
59,comes
60,true
61,ooh
62,know
63,dream
64,we'll
65,make
66,dream
67,come
68,true
69,play
70,game
71,play
72,game
