,There's A Class For This_Cute Is What We Aim For
0,prechorus
1,got
2,gotta
3,gotta
4,give
5,got
6,gotta
7,gotta
8,give
9,got
10,got
11,keep
12,mystery
13,provide
14,provide
15,clues
16,rest
17,forget
18,check
19,obvious
20,serious
21,guess
22,comes
23,curious
24,prechorus
25,got
26,gotta
27,gotta
28,give
29,got
30,gotta
31,gotta
32,give
33,got
34,got
35,drama
36,follow
37,rides
38,back
39,may
40,ugly
41,sure
42,love
43,stare
44,drama
45,follow
46,rides
47,back
48,may
49,ugly
50,sure
51,love
52,stare
53,check
54,labels
55,fcc
56,calories
57,killing
58,sticky
59,situation
60,keep
61,chest
62,game
63,drop
64,jaw
65,coax
66,coax
67,coax
68,prechorus
69,got
70,gotta
71,gotta
72,give
73,got
74,gotta
75,gotta
76,give
77,got
78,got
79,drama
80,follow
81,rides
82,back
83,may
84,ugly
85,sure
86,love
87,stare
88,drama
89,follow
90,rides
91,back
92,may
93,ugly
94,sure
95,love
96,stare
97,william
98,beckett
99,party
100,without
101,people
102,show
103,without
104,sounds
105,dance
106,without
107,steps
108,gave
109,clues
110,find
111,found
112,party
113,without
114,people
115,show
116,without
117,sounds
118,dance
119,without
120,steps
121,gave
122,clues
123,find
124,found
125,drama
126,follow
127,rides
128,back
129,may
130,ugly
131,sure
132,love
133,stare
134,drama
135,follow
136,rides
137,back
138,may
139,ugly
140,sure
141,love
142,stare
