,Fade Into You_Mazzy Star
0,want
1,hold
2,hand
3,inside
4,want
5,take
6,breath
7,that's
8,true
9,look
10,see
11,nothing
12,look
13,see
14,truth
15,live
16,life
17,go
18,shadows
19,come
20,apart
21,go
22,blind
23,kind
24,night
25,darkness
26,colors
27,eyes
28,what's
29,fade
30,strange
31,never
32,knew
33,fade
34,think
35,strange
36,never
37,knew
38,stranger's
39,light
40,comes
41,slowly
42,stranger's
43,heart
44,without
45,home
46,put
47,hands
48,head
49,smiles
50,cover
51,heart
52,fade
53,strange
54,never
55,knew
56,fade
57,think
58,strange
59,never
60,knew
61,fade
62,strange
63,never
64,knew
65,fade
66,think
67,strange
68,never
69,knew
70,think
71,strange
72,never
73,knew
