,In Love with a Girl_Gavin DeGraw
0,many
1,people
2,gonna
3,say
4,want
5,try
6,get
7,thinking
8,really
9,care
10,there's
11,nothing
12,like
13,warmth
14,one
15,put
16,time
17,know
18,gonna
19,back
20,border
21,knows
22,someone
23,crossed
24,let
25,nobody
26,put
27,take
28,pain
29,protecting
30,name
31,crutch
32,cane
33,highwire
34,i'm
35,love
36,girl
37,knows
38,better
39,fell
40,woman
41,met
42,took
43,sweet
44,time
45,bitter
46,someone
47,understands
48,knows
49,treat
50,fella
51,right
52,give
53,feeling
54,every
55,night
56,wants
57,make
58,love
59,wanna
60,fight
61,someone
62,understand
63,i'm
64,love
65,girl
66,i'm
67,love
68,i'm
69,love
70,girl
71,i'm
72,love
73,many
74,broken
75,backdoors
76,windows
77,valley
78,love
79,lost
80,hole
81,cut
82,soul
83,falling
84,thrones
85,without
86,innuendos
87,found
88,piece
89,moment
90,moment
91,time
92,gone
93,hit
94,run
95,drifters
96,one
97,short
98,life
99,i'm
100,love
101,girl
102,knows
103,better
104,fell
105,woman
106,met
107,took
108,sweet
109,time
110,bitter
111,someone
112,understands
113,knows
114,treat
115,fella
116,right
117,give
118,feeling
119,every
120,night
121,wants
122,make
123,love
124,wanna
125,fight
126,someone
127,understand
128,i'm
129,love
130,girl
131,i'm
132,love
133,i'm
134,love
135,girl
136,i'm
137,love
138,wanna
139,tell
140,think
141,practice
142,preach
143,know
144,there's
145,nothing
146,can't
147,reach
148,'cause
149,heart
150,can't
151,erase
152,finds
153,place
154,warm
155,welcome
156,held
157,shelter
158,i'm
159,love
160,girl
161,knows
162,better
163,fell
164,woman
165,met
166,took
167,sweet
168,time
169,bitter
170,someone
171,understands
172,knows
173,treat
174,fella
175,right
176,give
177,feeling
178,every
179,night
180,wants
181,make
182,love
183,wanna
184,fight
185,someone
186,understand
187,i'm
188,love
189,girl
190,i'm
191,love
192,i'm
193,love
194,girl
195,i'm
196,love
197,i'm
198,love
199,girl
200,i'm
201,love
202,knows
203,better
204,wants
205,make
206,love
207,wanna
208,fight
209,someone
210,understand
