,Love Never Felt So Good_Michael Jackson
0,justin
1,timberlake
2,dancin'
3,let
4,see
5,move
6,come
7,dancin'
8,let
9,see
10,move
11,michael
12,jackson
13,baby
14,love
15,never
16,felt
17,good
18,doubt
19,ever
20,could
21,like
22,hold
23,hold
24,oh
25,baby
26,love
27,never
28,felt
29,fine
30,doubt
31,never
32,mine
33,like
34,hold
35,hold
36,prechorus
37,michael
38,jackson
39,night
40,gonna
41,fine
42,gotta
43,fly
44,gotta
45,see
46,can't
47,believe
48,can't
49,take
50,cause
51,michael
52,jackson
53,baby
54,every
55,time
56,love
57,life
58,baby
59,tell
60,really
61,love
62,life
63,baby
64,baby
65,love
66,never
67,felt
68,good
69,justin
70,timberlake
71,baby
72,love
73,never
74,felt
75,fine
76,doubt
77,ever
78,mine
79,like
80,hold
81,hold
82,oh
83,baby
84,love
85,never
86,felt
87,good
88,doubt
89,ever
90,could
91,like
92,hold
93,hold
94,prechorus
95,justin
96,timberlake
97,night
98,thick
99,thin
100,gotta
101,fly
102,gotta
103,see
104,can't
105,believe
106,can't
107,take
108,cause
109,michael
110,jackson
111,justin
112,timberlake
113,baby
114,every
115,time
116,love
117,life
118,baby
119,tell
120,really
121,love
122,life
123,baby
124,baby
125,love
126,never
127,felt
128,good
129,justin
130,timberlake
131,dancin'
132,let
133,see
134,move
135,come
136,let
137,see
138,move
139,dancin'
140,let
141,see
142,move
143,come
144,said
145,let
146,see
147,move
148,michael
149,prechorus
150,michael
151,jackson
152,night
153,good
154,gotta
155,fly
156,gotta
157,see
158,can't
159,believe
160,can't
161,take
162,cause
163,michael
164,jackson
165,baby
166,every
167,time
168,love
169,life
170,baby
171,tell
172,really
173,love
174,life
175,baby
176,baby
177,love
178,never
179,felt
180,good
181,baby
182,every
183,time
184,love
185,life
186,baby
187,tell
188,really
189,love
190,life
191,baby
192,baby
193,love
194,never
195,felt
196,good
