,XO_Beyoncé
0,sample
1,flight
2,controllers
3,looking
4,carefully
5,situation
6,obviously
7,major
8,malfunction
9,love
10,bright
11,ever
12,even
13,shadows
14,baby
15,kiss
16,turn
17,lights
18,heart
19,glowing
20,i’m
21,crashing
22,baby
23,kiss
24,turn
25,lights
26,turn
27,lights
28,baby
29,love
30,lights
31,darkest
32,night
33,hour
34,darkest
35,night
36,hour
37,search
38,crowd
39,search
40,crowd
41,face
42,see
43,i've
44,given
45,everything
46,baby
47,love
48,lights
49,baby
50,love
51,lights
52,xo
53,turn
54,lights
55,don’t
56,forever
57,baby
58,daylight’s
59,wasting
60,better
61,kiss
62,time
63,run
64,nobody
65,sees
66,see
67,they’re
68,hopelessly
69,gazing
70,baby
71,take
72,turn
73,lights
74,time
75,run
76,baby
77,love
78,lights
79,darkest
80,night
81,hour
82,darkest
83,night
84,hour
85,i'll
86,search
87,crowd
88,i'll
89,search
90,crowd
91,face
92,see
93,i'll
94,give
95,everything
96,baby
97,love
98,lights
99,baby
100,love
101,lights
102,turn
103,lights
104,love
105,like
106,xo
107,love
108,like
109,xo
110,kill
111,boy
112,xo
113,love
114,like
115,xo
116,see
117,give
118,everything
119,baby
120,love
121,lights
122,baby
123,love
124,lights
125,turn
126,lights
127,darkest
128,night
129,hour
130,darkest
131,night
132,hour
133,i'll
134,search
135,crowd
136,i'll
137,search
138,crowd
139,face
140,see
141,i'll
142,give
143,everything
144,baby
145,love
146,lights
147,baby
148,love
149,lights
150,turn
151,lights
