,Love Hurts_Incubus
0,tonight
1,drink
2,youth
3,holding
4,fast
5,truth
6,wanna
7,lose
8,boy
9,heart
10,still
11,beat
12,love
13,feat
14,common
15,cold
16,day
17,la
18,prechorus
19,sometimes
20,i'm
21,alone
22,wonder
23,spell
24,keeping
25,seeing
26,real
27,thing
28,love
29,hurts
30,sometimes
31,it’s
32,good
33,hurt
34,feels
35,like
36,i'm
37,alive
38,love
39,sings
40,transcends
41,bad
42,things
43,heart
44,try
45,'cause
46,without
47,love
48,survive
49,i'm
50,fettered
51,abused
52,stand
53,naked
54,accused
55,surface
56,oneman
57,submarine
58,want
59,truth
60,tonight
61,drink
62,youth
63,i'll
64,never
65,lose
66,boy
67,prechorus
68,sometimes
69,i'm
70,alone
71,wonder
72,spell
73,keeping
74,seeing
75,real
76,thing
77,love
78,hurts
79,sometimes
80,good
81,hurt
82,feels
83,like
84,i'm
85,alive
86,love
87,sings
88,transcends
89,bad
90,things
91,heart
92,try
93,'cause
94,without
95,love
96,survive
97,without
98,love
99,survive
100,love
101,hurts
102,sometimes
103,good
104,hurt
105,feels
106,like
107,i'm
108,alive
109,love
110,sings
111,transcends
112,bad
113,things
114,heart
115,try
116,'cause
117,without
118,love
119,survive
120,love
121,hurts
122,oh
123,oh
124,love
125,hurts
126,without
127,love
128,won’t
129,survive
130,love
131,hurts
132,oh
133,love
134,hurts
135,without
136,love
137,won’t
138,survive
