,Miss You Love_Silverchair
0,millionaire
1,say
2,got
3,big
4,shot
5,deal
6,i’ve
7,thrown
8,away
9,i'm
10,sure
11,i'm
12,supposed
13,feel
14,i'm
15,supposed
16,say
17,i'm
18,sure
19,sure
20,feels
21,handle
22,everyday
23,refrain
24,miss
25,love
26,make
27,room
28,prey
29,'cause
30,i'm
31,coming
32,want
33,say
34,gonna
35,hurt
36,love
37,pain
38,breeding
39,ground
40,hate
41,prechorus
42,i'm
43,sure
44,sure
45,feels
46,handle
47,every
48,day
49,like
50,one
51,passed
52,crowds
53,people
54,interlude
55,remember
56,today
57,i've
58,respect
59,refrain
60,miss
61,love
62,miss
63,love
64,love
65,way
66,love
67,hate
68,way
69,i'm
70,supposed
71,love
72,back
73,fad
74,part
75,teen
76,teenage
77,angst
78,brigade
79,i'm
80,sure
81,sure
82,feels
83,handle
84,every
85,day
86,like
87,one
88,passed
89,crowds
90,people
91,interlude
92,remember
93,today
94,i've
95,respect
96,refrain
97,miss
98,love
99,miss
100,love
101,interlude
102,remember
103,today
104,i've
105,respect
106,refrain
107,miss
108,love
109,miss
110,love
111,way
112,love
113,hate
114,way
115,i'm
116,supposed
117,love
118,back
