,Hospital Beds_Florence + the Machine
0,there's
1,nothing
2,lie
3,complain
4,bed
5,hospital
6,coming
7,going
8,asleep
9,awake
10,bed
11,hospital
12,prechorus
13,i've
14,got
15,one
16,friend
17,laying
18,across
19,choose
20,choose
21,chance
22,recovering
23,laying
24,hospitals
25,joy
26,misery
27,joy
28,misery
29,joy
30,misery
31,put
32,fire
33,boys
34,stop
35,stop
36,put
37,fire
38,us
39,put
40,fire
41,boys
42,stop
43,stop
44,put
45,fire
46,us
47,bring
48,buckets
49,dozen
50,bring
51,nieces
52,cousins
53,oh
54,put
55,fire
56,us
57,bring
58,buckets
59,dozen
60,bring
61,nieces
62,cousins
63,oh
64,put
65,fire
66,us
67,prechorus
68,i've
69,got
70,one
71,friend
72,laying
73,across
74,choose
75,choose
76,chance
77,recovering
78,laying
79,hospitals
80,joy
81,misery
82,joy
83,misery
84,joy
85,misery
