,Cupid_Sam Cooke
0,cupid
1,draw
2,back
3,bow
4,let
5,arrow
6,go
7,straight
8,lover's
9,heart
10,cupid
11,please
12,hear
13,cry
14,let
15,arrow
16,fly
17,straight
18,lover's
19,heart
20,mean
21,bother
22,i'm
23,distress
24,there's
25,danger
26,losing
27,happiness
28,love
29,girl
30,know
31,exist
32,fix
33,cupid
34,draw
35,back
36,bow
37,let
38,arrow
39,go
40,straight
41,lover's
42,heart
43,nobody
44,cupid
45,please
46,hear
47,cry
48,let
49,arrow
50,fly
51,straight
52,lover's
53,heart
54,cupid
55,arrow
56,make
57,love
58,strong
59,promise
60,love
61,eternity
62,know
63,two
64,us
65,heart
66,steal
67,help
68,cupid
69,draw
70,back
71,bow
72,let
73,arrow
74,go
75,straight
76,lover's
77,heart
78,nobody
79,cupid
80,please
81,hear
82,cry
83,let
84,arrow
85,fly
86,straight
87,lover's
88,heart
89,cupid
90,hear
91,calling
92,need
93,cupid
94,help
95,need
96,cupid
97,fail
98,'cause
99,need
