,Joy_Ellie Goulding
0,stood
1,rain
2,watched
3,go
4,feel
5,lump
6,throat
7,far
8,joy
9,never
10,seemed
11,learn
12,high
13,makes
14,things
15,harder
16,high
17,get
18,i've
19,figured
20,joy
21,arms
22,know
23,i'll
24,always
25,ache
26,empty
27,heart
28,think
29,time
30,run
31,i'm
32,seeing
33,stars
34,i'm
35,seeing
36,stars
37,watch
38,fall
39,apart
40,think
41,dying
42,time
43,i've
44,got
45,joy
46,take
47,side
48,fear
49,favorite
50,ride
51,ooh
52,hey
53,hoh
54,i've
55,figured
56,joy
57,arms
58,know
59,i'll
60,always
61,ache
62,empty
63,heart
64,think
65,time
66,run
67,i'm
68,seeing
69,stars
70,i'm
71,seeing
72,stars
73,watch
74,fall
75,apart
76,interlude
77,see
78,ooh
79,i've
80,figured
81,joy
82,arms
83,know
84,i'll
85,always
86,ache
87,empty
88,heart
89,think
90,time
91,run
92,i'm
93,seeing
94,stars
95,i'm
96,seeing
97,stars
98,watch
99,fall
100,apart
