,Highway Unicorn (Road to Love)_Lady Gaga
0,strong
1,strong
2,lonely
3,run
4,road
5,love
6,strong
7,strong
8,follow
9,unicorn
10,road
11,love
12,interlude
13,run
14,run
15,run
16,run
17,run
18,run
19,run
20,run
21,run
22,run
23,run
24,run
25,run
26,run
27,run
28,run
29,run
30,run
31,top
32,baby
33,flies
34,run
35,run
36,fury
37,saint
38,eyes
39,run
40,run
41,hacha
42,cha
43,cha
44,baby
45,goes
46,blonde
47,hair
48,gun
49,smoking
50,toes
51,prechorus
52,hoahoowoahoowoah
53,hoahoowoahoowoah
54,ohohoooh
55,ride
56,ride
57,pony
58,ride
59,ride
60,hoahoowoahoowoah
61,hoahoowoahoowoah
62,ohohoooh
63,ride
64,ride
65,pony
66,tonight
67,strong
68,strong
69,lonely
70,run
71,road
72,love
73,strong
74,strong
75,follow
76,unicorn
77,road
78,love
79,i'm
80,road
81,i'm
82,road
83,love
84,i'm
85,road
86,i'm
87,road
88,love
89,american
90,riding
91,dream
92,got
93,rainbow
94,syrup
95,heart
96,bleeds
97,care
98,papers
99,love
100,law
101,free
102,soul
103,burning
104,roads
105,flag
106,bra
107,prechorus
108,hoahoowoahoowoah
109,hoahoowoahoowoah
110,ohohoooh
111,ride
112,ride
113,pony
114,ride
115,ride
116,hoahoowoahoowoah
117,hoahoowoahoowoah
118,ohohoooh
119,ride
120,ride
121,pony
122,tonight
123,strong
124,strong
125,lonely
126,run
127,road
128,love
129,strong
130,strong
131,follow
132,unicorn
133,road
134,love
135,i'm
136,road
137,i'm
138,road
139,love
140,i'm
141,road
142,i'm
143,road
144,love
145,get
146,hot
147,rods
148,ready
149,rumble
150,'cause'
151,we're
152,gonna
153,fall
154,love
155,tonight
156,get
157,hot
158,rods
159,ready
160,rumble
161,'cause'
162,we're
163,gonna
164,drink
165,die
166,get
167,hot
168,rods
169,ready
170,rumble
171,'cause'
172,we're
173,gonna
174,fall
175,love
176,tonight
177,get
178,hot
179,rods
180,ready
181,rumble
182,'cause'
183,we're
184,gonna
185,drink
186,die
