,Love Lost_The Temper Trap
0,love
1,lost
2,we've
3,found
4,love
5,lost
6,oh
7,lost
8,hope
9,gone
10,love
11,lost
12,we've
13,found
14,flash
15,heart
16,oh
17,heart
18,deny
19,promise
20,promise
21,walls
22,cold
23,touch
24,walls
25,oh
26,high
27,climb
28,know
29,hard
30,still
31,hear
32,beating
33,flash
34,heart
35,mistreat
36,promise
37,promise
38,promise
39,love
40,lost
41,rubble
42,things
43,dreaming
44,keep
45,mind
46,ready
47,take
48,every
49,time
50,oh
51,love
52,lost
53,lost
54,lost
55,lost
56,lost
57,lost
58,lost
59,love
60,lost
61,found
