,"Lights Out, Words Gone_Bombay Bicycle Club"
0,keep
1,old
2,wasted
3,word
4,heart
5,breaking
6,like
7,heard
8,town
9,always
10,turned
11,lies
12,made
13,burn
14,keep
15,old
16,wasted
17,words
18,heart
19,breaking
20,like
21,heard
22,town
23,always
24,turned
25,lies
26,made
27,burn
28,let
29,one
30,go
31,go
32,go
33,let
34,one
35,try
36,feel
37,leeches
38,bite
39,boy
40,took
41,tonight
42,he's
43,brave
44,walking
45,sure
46,spots
47,working
48,keep
49,old
50,wasted
51,words
52,heart
53,breaking
54,like
55,heard
56,town
57,always
58,turned
59,lies
60,made
61,burn
62,let
63,one
64,go
65,go
66,go
67,let
68,one
69,try
70,light
71,words
72,gone
73,let
74,one
75,try
76,light
77,words
78,gone
79,let
80,one
81,try
82,light
83,words
84,gone
85,let
86,one
87,try
88,light
89,words
90,gone
91,let
92,one
93,try
94,light
95,words
96,gone
97,let
98,one
99,try
100,light
101,words
102,gone
103,let
104,one
105,try
106,light
107,words
108,gone
109,let
110,one
111,try
112,light
113,words
114,gone
115,let
116,one
117,try
118,light
119,words
120,gone
121,let
122,one
123,try
124,light
125,words
126,gone
127,let
128,one
129,try
130,light
131,words
132,gone
133,let
134,one
135,try
136,light
137,words
138,gone
139,let
140,one
141,try
