,Perfect_Ed Sheeran
0,found
1,love
2,oh
3,darling
4,dive
5,right
6,follow
7,lead
8,well
9,found
10,girl
11,beautiful
12,sweet
13,oh
14,never
15,knew
16,someone
17,waiting
18,'cause
19,kids
20,fell
21,love
22,knowing
23,give
24,time
25,darling
26,kiss
27,slow
28,heart
29,eyes
30,holding
31,mine
32,baby
33,i'm
34,dancing
35,dark
36,arms
37,barefoot
38,grass
39,listening
40,favourite
41,song
42,said
43,looked
44,mess
45,whispered
46,underneath
47,breath
48,heard
49,darling
50,look
51,perfect
52,tonight
53,well
54,found
55,woman
56,stronger
57,anyone
58,know
59,shares
60,dreams
61,hope
62,someday
63,i'll
64,share
65,home
66,found
67,love
68,carry
69,secrets
70,carry
71,love
72,carry
73,children
74,still
75,kids
76,we're
77,love
78,fighting
79,odds
80,know
81,we'll
82,alright
83,time
84,darling
85,hold
86,hand
87,girl
88,i'll
89,man
90,see
91,future
92,eyes
93,baby
94,i'm
95,dancing
96,dark
97,arms
98,barefoot
99,grass
100,listening
101,favorite
102,song
103,saw
104,dress
105,looking
106,beautiful
107,deserve
108,darling
109,look
110,perfect
111,tonight
112,instrumental
113,baby
114,i'm
115,dancing
116,dark
117,arms
118,barefoot
119,grass
120,listening
121,favorite
122,song
123,faith
124,see
125,know
126,met
127,angel
128,person
129,looks
130,perfect
131,deserve
132,look
133,perfect
134,tonight
