,Mean_Taylor Swift
0,words
1,like
2,knives
3,swords
4,weapons
5,use
6,knocked
7,feet
8,got
9,feeling
10,like
11,i'm
12,nothing
13,voice
14,like
15,nails
16,chalkboard
17,calling
18,i'm
19,wounded
20,picking
21,weaker
22,man
23,prechorus
24,well
25,take
26,one
27,single
28,blow
29,know
30,know
31,someday
32,i'll
33,living
34,big
35,old
36,city
37,ever
38,gonna
39,mean
40,someday
41,i'll
42,big
43,enough
44,can't
45,hit
46,ever
47,gonna
48,mean
49,gotta
50,mean
51,switching
52,sides
53,wildfire
54,lies
55,humiliation
56,pointed
57,flaws
58,already
59,see
60,walk
61,head
62,trying
63,block
64,'cause
65,i'll
66,never
67,impress
68,wanna
69,feel
70,okay
71,prechorus
72,bet
73,got
74,pushed
75,around
76,somebody
77,made
78,cold
79,cycle
80,ends
81,right
82,'cause
83,can't
84,lead
85,road
86,know
87,know
88,someday
89,i'll
90,living
91,big
92,old
93,city
94,ever
95,gonna
96,mean
97,someday
98,i'll
99,big
100,enough
101,can't
102,hit
103,ever
104,gonna
105,mean
106,gotta
107,mean
108,see
109,years
110,bar
111,talking
112,football
113,game
114,big
115,loud
116,opinion
117,nobody's
118,listening
119,washed
120,ranting
121,old
122,bitter
123,things
124,drunk
125,grumbling
126,can't
127,sing
128,mean
129,mean
130,liar
131,pathetic
132,alone
133,life
134,mean
135,mean
136,mean
137,mean
138,breakdown
139,someday
140,i'll
141,living
142,big
143,old
144,city
145,ever
146,gonna
147,mean
148,yeah
149,someday
150,i'll
151,big
152,enough
153,can't
154,hit
155,ever
156,gonna
157,mean
158,gotta
159,mean
160,someday
161,i'll
162,living
163,big
164,old
165,city
166,gotta
167,mean
168,ever
169,gonna
170,mean
171,gotta
172,mean
173,someday
174,i'll
175,big
176,enough
177,can't
178,hit
179,gotta
180,mean
181,ever
182,gonna
183,mean
184,gotta
185,mean
