,Heaven_Bryan Adams
0,oh
1,thinkin'
2,younger
3,years
4,young
5,wild
6,free
7,nothin'
8,take
9,away
10,we've
11,road
12,that's
13,keep
14,comin'
15,back
16,baby
17,want
18,lyin'
19,arms
20,i'm
21,findin'
22,hard
23,believe
24,we're
25,heaven
26,love
27,need
28,found
29,heart
30,hard
31,see
32,we're
33,heaven
34,oh
35,life
36,find
37,someone
38,turn
39,world
40,around
41,bring
42,feelin'
43,yeah
44,nothin'
45,could
46,change
47,mean
48,oh
49,there's
50,lots
51,could
52,say
53,hold
54,cause
55,love
56,light
57,way
58,baby
59,want
60,lyin'
61,arms
62,i'm
63,finding
64,hard
65,believe
66,we're
67,heaven
68,yeah
69,love
70,need
71,found
72,heart
73,hard
74,see
75,we're
76,heaven
77,yeah
78,i've
79,waitin'
80,long
81,somethin'
82,arrive
83,love
84,come
85,along
86,dreams
87,comin'
88,true
89,good
90,times
91,bad
92,yeah
93,i'll
94,standin'
95,baby
96,want
97,lyin'
98,arms
99,i'm
100,findin'
101,hard
102,believe
103,we're
104,heaven
105,love
106,need
107,found
108,heart
109,hard
110,see
111,we're
112,heaven
113,heaven
114,woah
115,want
116,need
