,I Won't Let You Go_James Morrison
0,black
1,take
2,little
3,time
4,hold
5,take
6,little
7,time
8,feel
9,around
10,gone
11,let
12,go
13,still
14,keep
15,falling
16,remember
17,saved
18,wrongs
19,yeah
20,there's
21,love
22,feel
23,there's
24,life
25,we'll
26,see
27,time
28,alone
29,alone
30,yeah
31,let
32,go
33,say
34,words
35,say
36,words
37,like
38,there's
39,nothing
40,else
41,close
42,eyes
43,might
44,believe
45,way
46,yeah
47,open
48,open
49,heart
50,let
51,come
52,pouring
53,there's
54,nothing
55,can't
56,take
57,there's
58,love
59,feel
60,there's
61,life
62,we'll
63,see
64,ain't
65,time
66,alone
67,alone
68,yeah
69,let
70,go
71,sky
72,falling
73,take
74,hand
75,hold
76,alone
77,alone
78,yeah
79,let
80,go
81,feel
82,fading
83,light
84,weak
85,carry
86,fight
87,friends
88,count
89,disappeared
90,i'll
91,gone
92,forever
93,holding
94,oh
95,there's
96,love
97,feel
98,there's
99,life
100,we'll
101,see
102,ain't
103,time
104,alone
105,alone
106,yeah
107,let
108,go
109,sky
110,falling
111,take
112,hand
113,hold
114,alone
115,alone
116,yeah
117,let
118,go
119,let
120,go
121,let
122,let
123,go
124,let
125,let
126,go
127,let
128,go
