,You're Still the One_Shania Twain
0,first
1,saw
2,saw
3,love
4,first
5,time
6,touched
7,felt
8,love
9,time
10,still
11,one
12,love
13,mmm
14,yeah
15,looks
16,like
17,made
18,look
19,far
20,we've
21,come
22,baby
23,mighta
24,took
25,long
26,way
27,knew
28,we'd
29,get
30,someday
31,prechorus
32,said
33,“i
34,bet
35,they'll
36,never
37,make
38,it”
39,look
40,us
41,holding
42,we're
43,still
44,together
45,still
46,going
47,strong
48,still
49,one
50,still
51,one
52,run
53,one
54,belong
55,still
56,one
57,want
58,life
59,still
60,one
61,still
62,one
63,love
64,one
65,dream
66,still
67,one
68,kiss
69,goodnight
70,ain't
71,nothing
72,better
73,beat
74,odds
75,together
76,i'm
77,glad
78,listen
79,look
80,would
81,missing
82,prechorus
83,said
84,“i
85,bet
86,they'll
87,never
88,make
89,it”
90,look
91,us
92,holding
93,we're
94,still
95,together
96,still
97,going
98,strong
99,still
100,one
101,still
102,one
103,run
104,one
105,belong
106,still
107,one
108,want
109,life
110,still
111,one
112,still
113,one
114,love
115,one
116,dream
117,still
118,one
119,kiss
120,goodnight
121,still
122,one
123,instrumental
124,break
125,yeah
126,still
127,one
128,still
129,one
130,run
131,one
132,belong
133,still
134,one
135,want
136,life
137,ooh
138,still
139,one
140,still
141,one
142,love
143,one
144,dream
145,still
146,one
147,kiss
148,goodnight
149,i'm
150,glad
151,made
152,look
153,far
154,we've
155,come
156,baby
