,"Decatur, or, Round of Applause for Your Stepmother!_Sufjan Stevens"
0,step
1,mom
2,everything
3,hate
4,took
5,us
6,edge
7,decatur
8,saw
9,lion
10,kangaroo
11,take
12,river
13,caught
14,wild
15,alligator
16,sangamon
17,river
18,overflowed
19,caused
20,mudslide
21,banks
22,operator
23,civil
24,war
25,skeletons
26,graves
27,came
28,clapping
29,spirit
30,aviator
31,sound
32,engines
33,smell
34,grain
35,go
36,riding
37,abolition
38,grain
39,train
40,stephen
41,douglas
42,great
43,debater
44,abraham
45,lincoln
46,great
47,emancipator
48,chickenmobile
49,rooster
50,tail
51,fill
52,know
53,bad
54,feels
55,stay
56,awake
57,watch
58,data
59,small
60,caterpillar
61,go
62,congratulate
63,denominator
64,go
65,decatur
66,go
67,decatur
68,great
69,abominate
70,go
71,decatur
72,hate
73,great
74,denominator
75,go
76,decatur
77,anticipate
78,great
79,appreciate
80,appreciate
81,stand
82,thank
83,stand
84,thank
85,great
86,stand
87,thank
88,great
89,stand
90,thank
91,great
92,stand
93,thank
