,The Good Stuff_Kenny Chesney
0,well
1,lady
2,first
3,big
4,fight
5,drove
6,around
7,till
8,saw
9,neon
10,light
11,corner
12,bar
13,seemed
14,right
15,pulled
16,soul
17,around
18,old
19,bar
20,keep
21,end
22,looking
23,half
24,asleep
25,walked
26,said
27,what'll
28,said
29,good
30,stuff
31,reach
32,around
33,whiskey
34,pour
35,beer
36,blue
37,eyes
38,kind
39,went
40,misty
41,said
42,can't
43,find
44,first
45,long
46,kiss
47,second
48,date
49,momma's
50,worried
51,get
52,home
53,late
54,dropping
55,ring
56,spaghetti
57,plate
58,hands
59,shaking
60,much
61,way
62,looks
63,rice
64,hair
65,eating
66,burnt
67,suppers
68,whole
69,first
70,year
71,asking
72,seconds
73,keep
74,tearing
75,yeah
76,man
77,that's
78,good
79,stuff
80,grabbed
81,carton
82,milk
83,poured
84,glass
85,smiled
86,said
87,i'll
88,sat
89,talked
90,hour
91,passed
92,like
93,old
94,friends
95,saw
96,black
97,white
98,picture
99,caught
100,stare
101,pretty
102,girl
103,bouffant
104,hair
105,said
106,that's
107,bonnie
108,taken
109,year
110,wed
111,said
112,spent
113,five
114,years
115,bottle
116,cancer
117,took
118,i've
119,sober
120,three
121,years
122,one
123,thing
124,stronger
125,whiskey
126,sight
127,holding
128,baby
129,girl
130,way
131,adored
132,string
133,pearls
134,gave
135,day
136,youngest
137,boy
138,earl
139,married
140,high
141,school
142,love
143,new
144,teeshirt
145,saying
146,'i'm
147,grandpa'
148,right
149,time
150,got
151,small
152,holding
153,hand
154,good
155,lord
156,called
157,yeah
158,man
159,that's
160,good
161,stuff
162,said
163,get
164,home
165,she'll
166,start
167,cry
168,says
169,'i'm
170,sorry'
171,say
172,'so
173,i'
174,look
175,eyes
176,deep
177,love
178,drink
179,that's
180,good
181,stuff
182,that's
183,good
184,stuff
