,Just Like Heaven_The Cure
0,show
1,show
2,show
3,trick
4,one
5,makes
6,scream
7,said
8,one
9,makes
10,laugh
11,said
12,threw
13,arms
14,around
15,neck
16,show
17,promise
18,promise
19,i'll
20,run
21,away
22,i'll
23,run
24,away
25,spinning
26,dizzy
27,edge
28,kissed
29,face
30,kissed
31,head
32,dreamed
33,different
34,ways
35,make
36,glow
37,far
38,away
39,said
40,ever
41,know
42,i'm
43,love
44,i'm
45,love
46,refrain
47,soft
48,lost
49,lonely
50,strange
51,angels
52,dancing
53,deepest
54,oceans
55,twisting
56,water
57,like
58,dream
59,like
60,dream
61,daylight
62,licked
63,shape
64,must
65,asleep
66,days
67,moving
68,lips
69,breathe
70,name
71,opened
72,eyes
73,found
74,alone
75,alone
76,alone
77,raging
78,sea
79,stole
80,girl
81,loved
82,drowned
83,deep
84,inside
85,refrain
86,soft
87,lost
88,lonely
89,like
90,heaven
