,Baby Can I Hold You_Tracy Chapman
0,sorry
1,say
2,years
3,gone
4,still
5,words
6,come
7,easily
8,like
9,sorry
10,like
11,sorry
12,forgive
13,say
14,years
15,gone
16,still
17,words
18,come
19,easily
20,like
21,forgive
22,forgive
23,say
24,baby
25,baby
26,hold
27,tonight
28,maybe
29,told
30,right
31,words
32,right
33,time
34,mine
35,love
36,say
37,years
38,gone
39,still
40,words
41,come
42,easily
43,like
44,love
45,love
46,say
47,baby
48,baby
49,hold
50,tonight
51,maybe
52,told
53,right
54,words
55,right
56,time
57,mine
58,baby
59,hold
60,tonight
61,maybe
62,told
63,right
64,words
65,right
66,time
67,mine
68,mine
69,mine
