,Fidelity_Regina Spektor
0,shake
1,never
2,loved
3,nobody
4,fully
5,always
6,one
7,foot
8,ground
9,protecting
10,heart
11,truly
12,got
13,lost
14,sounds
15,prechorus
16,hear
17,mind
18,voices
19,hear
20,mind
21,words
22,hear
23,mind
24,music
25,breaks
26,heart
27,breaks
28,heart
29,breaks
30,heart
31,well
32,breaks
33,heart
34,suppose
35,never
36,ever
37,met
38,suppose
39,never
40,fell
41,love
42,suppose
43,never
44,ever
45,let
46,kiss
47,sweet
48,soft
49,suppose
50,never
51,ever
52,saw
53,suppose
54,never
55,ever
56,called
57,suppose
58,kept
59,singing
60,love
61,songs
62,break
63,fall
64,break
65,fall
66,break
67,fall
68,break
69,fall
70,break
71,fall
72,break
73,fall
74,friends
75,say
76,course
77,gonna
78,get
79,better
80,gonna
81,get
82,better
83,better
84,better
85,better
86,better
87,better
88,better
89,better
90,never
91,loved
92,nobody
93,fully
94,always
95,one
96,foot
97,ground
98,protecting
99,heart
100,truly
101,got
102,lost
103,sounds
104,prechorus
105,hear
106,mind
107,voices
108,hear
109,mind
110,words
111,hear
112,mind
113,music
114,breaks
115,heart
116,breaks
117,heart
118,hear
119,mind
120,voices
121,hear
122,mind
123,words
124,hear
125,mind
126,music
127,breaks
128,heart
129,breaks
130,heart
131,breaks
132,heart
133,oh
134,breaks
135,heart
136,oh
137,breaks
138,heart
139,oh
140,breaks
141,heart
142,breaks
143,heart
144,oh
145,breaks
146,heart
147,breaks
148,heart
149,breaks
150,heart
151,oh
152,breaks
153,heart
