,Nothing Compares 2 U_Sinéad O'Connor
0,seven
1,hours
2,fifteen
3,days
4,since
5,took
6,love
7,away
8,go
9,every
10,night
11,sleep
12,day
13,since
14,took
15,love
16,away
17,since
18,gone
19,whatever
20,want
21,see
22,whomever
23,choose
24,eat
25,dinner
26,fancy
27,restaurant
28,nothing
29,said
30,nothing
31,take
32,away
33,blues
34,'cause
35,nothing
36,compares
37,nothing
38,compares
39,lonely
40,without
41,like
42,bird
43,without
44,song
45,nothing
46,stop
47,lonely
48,tears
49,falling
50,tell
51,baby
52,go
53,wrong
54,could
55,put
56,arms
57,around
58,every
59,boy
60,see
61,they'd
62,remind
63,went
64,doctor
65,guess
66,told
67,guess
68,told
69,said
70,girl
71,better
72,try
73,fun
74,matter
75,he's
76,fool
77,'cause
78,nothing
79,compares
80,nothing
81,compares
82,interlude
83,flowers
84,planted
85,mama
86,back
87,yard
88,died
89,went
90,away
91,know
92,living
93,baby
94,sometimes
95,hard
96,i'm
97,willing
98,give
99,another
100,try
101,nothing
102,compares
103,nothing
104,compares
105,nothing
106,compares
107,nothing
108,compares
109,nothing
110,compares
111,nothing
112,compares
