,Somebody To Love - Remastered 2011_Queen
0,anybody
1,find
2,somebody
3,love
4,ooh
5,morning
6,get
7,die
8,little
9,barely
10,stand
11,feet
12,take
13,look
14,take
15,look
16,mirror
17,cry
18,mirror
19,cry
20,yeah
21,yeah
22,lord
23,spent
24,years
25,believing
26,can't
27,get
28,relief
29,lord
30,somebody
31,somebody
32,ooh
33,somebody
34,somebody
35,anybody
36,find
37,somebody
38,love
39,yeah
40,work
41,hard
42,works
43,hard
44,every
45,day
46,life
47,work
48,'til
49,ache
50,bones
51,end
52,end
53,day
54,take
55,home
56,hardearned
57,pay
58,goes
59,home
60,goes
61,home
62,get
63,knees
64,knees
65,start
66,pray
67,praise
68,lord
69,'til
70,tears
71,run
72,eyes
73,lord
74,somebody
75,somebody
76,ooh
77,somebody
78,please
79,anybody
80,find
81,somebody
82,love
83,works
84,hard
85,everyday
86,everyday
87,try
88,try
89,try
90,everybody
91,wants
92,put
93,say
94,i'm
95,goin'
96,crazy
97,say
98,got
99,lot
100,water
101,brain
102,got
103,common
104,sense
105,he's
106,got
107,got
108,nobody
109,left
110,believe
111,guitar
112,solo
113,ooh
114,lord
115,ooh
116,somebody
117,ooh
118,somebody
119,anybody
120,find
121,somebody
122,love
123,anybody
124,find
125,someone
126,love
127,got
128,feel
129,got
130,rhythm
131,keep
132,losing
133,beat
134,keep
135,losing
136,losing
137,i'm
138,okay
139,i'm
140,alright
141,he's
142,alright
143,he's
144,alright
145,ain't
146,gonna
147,face
148,defeat
149,yeah
150,yeah
151,gotta
152,get
153,prison
154,cell
155,someday
156,i'm
157,gonna
158,free
159,lord
160,find
161,somebody
162,love
163,find
164,somebody
165,love
166,find
167,somebody
168,love
169,find
170,somebody
171,love
172,find
173,somebody
174,love
175,find
176,somebody
177,love
178,find
179,somebody
180,love
181,find
182,somebody
183,love
184,find
185,somebody
186,love
187,find
188,somebody
189,love
190,somebody
191,somebody
192,somebody
193,somebody
194,somebody
195,find
196,somebody
197,find
198,somebody
199,love
200,anybody
201,find
202,somebody
203,love
204,find
205,somebody
206,love
207,ooh
208,find
209,somebody
210,love
211,every
212,somebody
213,find
214,somebody
215,love
216,somebody
217,somebody
218,somebody
219,love
220,find
221,somebody
222,love
223,find
224,find
225,find
226,find
227,find
228,somebody
229,love
230,find
231,somebody
232,love
233,ooh
234,find
235,somebody
236,love
237,somebody
238,find
239,find
240,somebody
241,love
242,find
243,somebody
244,love
245,anybody
246,anywhere
247,anybody
248,find
249,somebody
250,love
251,find
252,find
253,find
