,I Don't Love You_My Chemical Romance
0,well
1,go
2,ever
3,think
4,i'll
5,make
6,try
7,stay
8,maybe
9,get
10,back
11,i'll
12,find
13,another
14,way
15,prechorus
16,time
17,still
18,owe
19,still
20,goodfornothing
21,know
22,take
23,gloves
24,get
25,better
26,get
27,go
28,would
29,even
30,turn
31,say
32,love
33,like
34,yesterday
35,sometimes
36,cry
37,hard
38,pleading
39,sick
40,tired
41,needless
42,beating
43,baby
44,knock
45,ought
46,stay
47,prechorus
48,blood
49,still
50,owe
51,another
52,dollar's
53,another
54,blow
55,fix
56,eyes
57,get
58,better
59,get
60,whoa
61,whoa
62,whoa
63,go
64,would
65,even
66,turn
67,say
68,love
69,like
70,yesterday
71,postchorus
72,well
73,come
74,come
75,guitar
76,solo
77,go
78,would
79,guts
80,say
81,love
82,like
83,loved
84,yesterday
85,love
86,like
87,loved
88,yesterday
89,love
90,like
91,loved
92,yesterday
