,The Power Of Love_Céline Dion
0,whispers
1,morning
2,lovers
3,sleeping
4,tight
5,rolling
6,like
7,thunder
8,look
9,eyes
10,hold
11,whole
12,body
13,feel
14,move
15,make
16,voice
17,warm
18,tender
19,love
20,could
21,forsake
22,'cause
23,i'm
24,lady
25,man
26,whenever
27,reach
28,i'll
29,lost
30,i'm
31,feeling
32,lying
33,arms
34,world
35,outside's
36,much
37,take
38,ends
39,i'm
40,even
41,though
42,may
43,times
44,seems
45,i'm
46,far
47,away
48,never
49,wonder
50,'cause
51,always
52,side
53,'cause
54,i'm
55,lady
56,man
57,whenever
58,reach
59,i'll
60,we're
61,heading
62,something
63,somewhere
64,i've
65,never
66,sometimes
67,frightened
68,i'm
69,ready
70,learn
71,power
72,love
73,sound
74,heart
75,beating
76,made
77,clear
78,suddenly
79,feeling
80,can't
81,go
82,light
83,years
84,away
85,'cause
86,i'm
87,lady
88,man
89,whenever
90,reach
91,i'm
92,gonna
93,we're
94,heading
95,something
96,somewhere
97,i've
98,never
99,sometimes
100,frightened
101,i'm
102,ready
103,learn
104,power
105,love
106,power
107,love
108,power
109,love
110,sometimes
111,frightened
112,i'm
113,ready
114,learn
115,power
116,love
117,power
118,love
