,To Your Love_Fiona Apple
0,here's
1,another
2,speech
3,wish
4,i'd
5,swallow
6,another
7,cue
8,fold
9,ears
10,another
11,train
12,thought
13,hard
14,follow
15,chuggin'
16,along
17,song
18,belongs
19,shifting
20,gears
21,please
22,forgive
23,distance
24,pain
25,evident
26,existence
27,please
28,forgive
29,distance
30,shame
31,manifest
32,resistance
33,love
34,love
35,love
36,would've
37,warned
38,really
39,what's
40,point
41,caution
42,could
43,rarely
44,ever
45,helps
46,demeanor
47,tends
48,disappoint
49,hard
50,enough
51,even
52,trying
53,civil
54,please
55,forgive
56,distance
57,pain
58,evident
59,existence
60,please
61,forgive
62,distance
63,shame
64,manifest
65,resistance
66,love
67,love
68,love
69,derringdo
70,allows
71,dance
72,rigadoon
73,around
74,time
75,i'm
76,close
77,lose
78,desideratum
79,tell
80,baby
81,what's
82,word
83,gal
84,get
85,town
86,need
87,reassured
88,deal
89,deal
90,lay
91,please
92,forgive
93,distance
94,pain
95,evident
96,existence
97,please
98,forgive
99,distance
100,shame
101,manifest
102,resistance
103,love
104,love
105,love
106,love
107,love
108,love
109,love
110,love
