,Miserable at Best_Mayday Parade
0,jake
1,bundrick
2,katie
3,cry
4,know
5,trying
6,hardest
7,hardest
8,part
9,letting
10,go
11,nights
12,shared
13,ocala
14,calling
15,know
16,haunting
17,compared
18,eyes
19,nothing
20,shines
21,quite
22,bright
23,look
24,sky
25,mine
26,want
27,derek
28,sanders
29,jake
30,bundrick
31,let's
32,pretend
33,like
34,alone
35,tonight
36,know
37,he's
38,probably
39,hanging
40,making
41,eyes
42,across
43,room
44,stares
45,i'll
46,bet
47,gets
48,nerve
49,walk
50,floor
51,ask
52,girl
53,dance
54,she'll
55,say
56,yes
57,words
58,never
59,easier
60,say
61,second
62,guess
63,guess
64,live
65,without
66,without
67,i'll
68,miserable
69,best
70,derek
71,sanders
72,hoped
73,i'd
74,find
75,every
76,single
77,way
78,everything
79,would
80,give
81,everything
82,take
83,cause
84,nothing
85,feels
86,like
87,home
88,thousand
89,miles
90,away
91,hardest
92,part
93,living
94,taking
95,breaths
96,stay
97,cause
98,know
99,i'm
100,good
101,something
102,found
103,yet
104,need
105,jake
106,bundrick
107,derek
108,sanders
109,let's
110,pretend
111,like
112,alone
113,tonight
114,know
115,he's
116,probably
117,hanging
118,making
119,eyes
120,across
121,room
122,stares
123,i'll
124,bet
125,gets
126,nerve
127,walk
128,floor
129,ask
130,girl
131,dance
132,she'll
133,say
134,yes
135,words
136,never
137,easier
138,say
139,second
140,guess
141,guess
142,live
143,without
144,without
145,i'll
146,miserable
147,best
148,jake
149,bundrick
150,first
151,time
152,week
153,i'll
154,talk
155,can't
156,speak
157,three
158,whole
159,days
160,since
161,i've
162,sleep
163,cause
164,dream
165,lips
166,cheek
167,got
168,point
169,leave
170,alone
171,know
172,i'm
173,strong
174,miss
175,lips
176,made
177,fly
178,derek
179,sanders
180,jake
181,bundrick
182,let's
183,pretend
184,like
185,alone
186,tonight
187,know
188,he's
189,probably
190,hanging
191,making
192,eyes
193,across
194,room
195,stares
196,i'll
197,bet
198,gets
199,nerve
200,walk
201,floor
202,ask
203,girl
204,dance
205,she'll
206,say
207,yes
208,words
209,never
210,easier
211,say
212,second
213,guess
214,guess
215,live
216,without
217,without
218,i'll
219,miserable
220,live
221,without
222,without
223,i'll
224,miserable
225,live
226,without
227,without
228,i'll
229,miserable
230,best
