,Broken_Seether (feat. Amy Lee)
0,shaun
1,morgan
2,wanted
3,know
4,love
5,way
6,laugh
7,wanna
8,hold
9,high
10,steal
11,pain
12,away
13,keep
14,photograph
15,know
16,serves
17,well
18,wanna
19,hold
20,high
21,steal
22,pain
23,shaun
24,morgan
25,amy
26,lee
27,i'm
28,broken
29,i'm
30,lonesome
31,feel
32,right
33,gone
34,away
35,postchorus
36,shaun
37,morgan
38,gone
39,away
40,feel
41,anymore
42,amy
43,lee
44,worst
45,breathe
46,wanna
47,hold
48,high
49,steal
50,pain
51,away
52,there's
53,much
54,left
55,learn
56,one
57,left
58,fight
59,wanna
60,hold
61,high
62,steal
63,pain
64,shaun
65,morgan
66,amy
67,lee
68,'cause
69,i’m
70,broken
71,i’m
72,open
73,don’t
74,feel
75,like
76,strong
77,enough
78,'cause
79,i'm
80,broken
81,i'm
82,lonesome
83,feel
84,right
85,gone
86,away
87,'cause
88,i’m
89,broken
90,i’m
91,open
92,don’t
93,feel
94,like
95,strong
96,enough
97,'cause
98,i'm
99,broken
100,i'm
101,lonesome
102,feel
103,right
104,gone
105,away
106,'cause
107,i'm
108,broken
109,i'm
110,lonesome
111,feel
112,right
113,gone
114,postchorus
115,shaun
116,morgan
117,gone
118,away
119,feel
120,anymore
