,I'll Be Back_The Beatles
0,know
1,break
2,heart
3,i'll
4,go
5,i'll
6,back
7,'cause
8,told
9,goodbye
10,came
11,back
12,love
13,i'm
14,one
15,wants
16,yes
17,i'm
18,one
19,wants
20,oh
21,ho
22,oh
23,ho
24,oh
25,could
26,find
27,better
28,things
29,break
30,heart
31,time
32,try
33,show
34,i'm
35,trying
36,pretend
37,thought
38,would
39,realize
40,ran
41,away
42,would
43,want
44,got
45,big
46,surprise
47,oh
48,ho
49,oh
50,ho
51,oh
52,could
53,find
54,better
55,things
56,break
57,heart
58,time
59,try
60,show
61,i'm
62,trying
63,pretend
64,wanna
65,go
66,hate
67,leave
68,know
69,hate
70,leave
71,oh
72,ho
73,oh
74,ho
75,oh
76,break
77,heart
78,i'll
79,go
80,i'll
81,back
