,Queen of California_John Mayer
0,goodbye
1,cold
2,goodbye
3,rain
4,goodbye
5,sorrow
6,goodbye
7,shame
8,i'm
9,headed
10,west
11,headphones
12,boarded
13,flight
14,song
15,back
16,soul
17,one
18,knows
19,found
20,ghost
21,left
22,town
23,queen
24,california
25,stepping
26,hello
27,beauty
28,hello
29,strange
30,hello
31,wonder
32,what's
33,name
34,looking
35,sun
36,neil
37,young
38,hung
39,gold
40,rush
41,1971
42,found
43,ghost
44,left
45,town
46,queen
47,california
48,stepping
49,electric
50,country
51,blues
52,guitar
53,see
54,say
55,hello
56,tell
57,told
58,joni
59,wrote
60,blue
61,house
62,sea
63,i've
64,got
65,believe
66,there's
67,another
68,color
69,waiting
70,set
71,free
72,found
73,ghost
74,left
75,town
76,queen
77,california
78,stepping
79,instrumental
