,Truly Madly Deeply_Savage Garden
0,i'll
1,dream
2,i'll
3,wish
4,i'll
5,fantasy
6,i'll
7,hope
8,i'll
9,love
10,everything
11,need
12,i'll
13,love
14,every
15,breath
16,truly
17,madly
18,deeply
19,strong
20,faithful
21,'cause
22,i'm
23,counting
24,prechorus
25,new
26,beginning
27,reason
28,living
29,deeper
30,meaning
31,yeah
32,wanna
33,stand
34,mountain
35,wanna
36,bathe
37,sea
38,wanna
39,lay
40,like
41,forever
42,sky
43,falls
44,stars
45,shining
46,brightly
47,velvet
48,sky
49,i'll
50,make
51,wish
52,send
53,heaven
54,make
55,want
56,cry
57,tears
58,joy
59,pleasure
60,certainty
61,we're
62,surrounded
63,comfort
64,protection
65,prechorus
66,highest
67,powers
68,lonely
69,hours
70,tears
71,devour
72,wanna
73,stand
74,mountain
75,wanna
76,bathe
77,sea
78,wanna
79,lay
80,like
81,forever
82,sky
83,falls
84,oh
85,see
86,baby
87,close
88,eyes
89,'cause
90,standing
91,right
92,need
93,surely
94,come
95,variation
96,i'll
97,dream
98,i'll
99,wish
100,i'll
101,fantasy
102,i'll
103,hope
104,i'll
105,love
106,everything
107,need
108,i'll
109,love
110,every
111,breath
112,truly
113,madly
114,deeply
115,ooh
116,ooh
117,wanna
118,stand
119,mountain
120,wanna
121,bathe
122,sea
123,wanna
124,lay
125,like
126,forever
127,sky
128,falls
129,wanna
130,stand
131,mountain
132,wanna
133,bathe
134,sea
135,want
136,live
137,like
138,forever
139,sky
140,falls
141,oohooh
142,ooh
143,yeah
144,oh
145,oh
146,ladadadadada
147,lalalala
148,ladadadadada
149,lalala
