,The Trapeze Swinger_Iron & Wine
0,please
1,remember
2,happily
3,rosebush
4,laughing
5,bruises
6,chin
7,time
8,counted
9,every
10,black
11,car
12,passing
13,house
14,beneath
15,hill
16,someone
17,caught
18,us
19,kitchen
20,maps
21,mountain
22,range
23,piggy
24,bank
25,vision
26,removed
27,mention
28,please
29,remember
30,fondly
31,heard
32,someone
33,still
34,pretty
35,went
36,say
37,pearly
38,gates
39,eloquent
40,graffiti
41,like
42,we'll
43,meet
44,fuck
45,man
46,tell
47,mother
48,worry
49,angels
50,great
51,handshakes
52,always
53,done
54,hurry
55,please
56,remember
57,halloween
58,making
59,fools
60,neighbors
61,faces
62,painted
63,white
64,midnight
65,we'd
66,forgotten
67,one
68,another
69,morning
70,came
71,ashamed
72,seems
73,silly
74,season
75,left
76,world
77,returned
78,lit
79,city
80,please
81,remember
82,mistakenly
83,window
84,tallest
85,tower
86,calling
87,passersby
88,much
89,high
90,see
91,empty
92,road
93,happy
94,hour
95,gleam
96,resonate
97,like
98,gates
99,around
100,holy
101,kingdom
102,words
103,like
104,lost
105,found
106,look
107,someone
108,save
109,temptation
110,please
111,remember
112,dream
113,rugburned
114,babies
115,among
116,fallen
117,trees
118,fast
119,asleep
120,beside
121,lions
122,ladies
123,called
124,like
125,even
126,might
127,give
128,gift
129,behavior
130,fleeting
131,chance
132,see
133,trapeze
134,swinger
135,high
136,savior
137,please
138,remember
139,misery
140,lost
141,wanted
142,dogs
143,love
144,rain
145,chasing
146,trains
147,colored
148,birds
149,running
150,circles
151,around
152,well
153,spells
154,wall
155,behind
156,st
157,peter
158,bright
159,cinder
160,gray
161,spray
162,paint
163,hell
164,see
165,forever
166,please
167,remember
168,seldomly
169,car
170,behind
171,carnival
172,hand
173,knees
174,turned
175,said
176,trapeze
177,act
178,wonderful
179,never
180,meant
181,last
182,clown
183,passed
184,saw
185,come
186,anger
187,filled
188,circus
189,dogs
190,parking
191,lot
192,element
193,danger
194,please
195,remember
196,finally
197,uphill
198,clawing
199,dear
200,make
201,pearly
202,gates
203,i'll
204,best
205,make
206,drawing
207,god
208,lucifer
209,boy
210,girl
211,angel
212,kissing
213,sinner
214,monkey
215,man
216,marching
217,band
218,around
219,frightened
220,trapeze
221,swinger
