,Make You Feel My Love_Adele
0,rain
1,blowing
2,face
3,whole
4,world
5,case
6,could
7,offer
8,warm
9,embrace
10,make
11,feel
12,love
13,evening
14,shadows
15,stars
16,appear
17,one
18,dry
19,tears
20,could
21,hold
22,million
23,years
24,make
25,feel
26,love
27,know
28,made
29,mind
30,yet
31,never
32,wrong
33,i've
34,known
35,moment
36,met
37,doubt
38,mind
39,belong
40,i'd
41,go
42,hungry
43,i'd
44,go
45,black
46,blue
47,i'd
48,go
49,crawling
50,avenue
51,there's
52,nothing
53,make
54,feel
55,love
56,instrumental
57,break
58,storms
59,raging
60,rollin'
61,sea
62,highway
63,regret
64,winds
65,change
66,blowing
67,wild
68,free
69,ain't
70,seen
71,nothing
72,like
73,yet
74,could
75,make
76,happy
77,make
78,dreams
79,come
80,true
81,nothing
82,go
83,ends
84,earth
85,make
86,feel
87,love
88,make
89,feel
90,love
