,I'm Yours_The Script
0,touch
1,tired
2,eyes
3,mine
4,map
5,face
6,line
7,line
8,somehow
9,growing
10,old
11,feels
12,fine
13,listen
14,close
15,i'm
16,smart
17,wrap
18,thoughts
19,works
20,art
21,they're
22,hanging
23,walls
24,heart
25,prechorus
26,may
27,softest
28,touch
29,may
30,say
31,words
32,though
33,may
34,look
35,like
36,much
37,i'm
38,though
39,edges
40,may
41,rough
42,never
43,feel
44,i'm
45,quite
46,enough
47,may
48,seem
49,like
50,much
51,i'm
52,healed
53,scars
54,time
55,embraced
56,soul
57,loved
58,mind
59,angel
60,life
61,day
62,news
63,came
64,best
65,friend
66,died
67,knees
68,went
69,weak
70,saw
71,cry
72,say
73,i'm
74,still
75,soldier
76,eyes
77,prechorus
78,may
79,softest
80,touch
81,may
82,say
83,words
84,though
85,may
86,look
87,like
88,much
89,i'm
90,though
91,edges
92,may
93,rough
94,never
95,feel
96,i'm
97,quite
98,enough
99,may
100,seem
101,like
102,much
103,i'm
104,prechorus
105,repeated
106,may
107,softest
108,touch
109,may
110,say
111,words
112,know
113,fit
114,much
115,i'm
