,Goodbye Kiss_Kasabian
0,doomed
1,start
2,met
3,goodbye
4,kiss
5,i'd
6,broke
7,wrist
8,kicked
9,choice
10,said
11,mind
12,'cos
13,love's
14,hard
15,find
16,la
17,la
18,la
19,la
20,maybe
21,days
22,gone
23,living
24,silence
25,far
26,long
27,open
28,eyes
29,see
30,laughs
31,photographs
32,turning
33,slowly
34,looking
35,back
36,see
37,words
38,save
39,broken
40,i'm
41,pissed
42,run
43,along
44,like
45,i'm
46,supposed
47,man
48,ought
49,rock
50,roll
51,sent
52,us
53,insane
54,hope
55,day
56,meet
57,running
58,wild
59,giving
60,everyone
61,that's
62,done
63,'cos
64,burnt
65,that's
66,everything
67,can't
68,true
69,la
70,la
71,la
72,la
73,maybe
74,days
75,gone
76,living
77,silence
78,long
79,open
80,eyes
81,see
82,last
83,stand
84,let
85,go
86,hand
87,turning
88,slowly
89,looking
90,back
91,see
92,words
93,save
94,broken
95,i'm
96,pissed
97,run
98,along
99,like
100,i'm
101,supposed
102,man
103,ought
104,rock
105,roll
106,sent
107,us
108,insane
109,hope
110,day
111,meet
112,go
113,way
114,i'll
115,go
116,way
117,words
118,save
119,us
120,lifestyle
121,made
122,us
123,run
124,along
125,like
126,i'm
127,supposed
128,man
129,ought
130,rock
131,roll
132,sent
133,us
134,insane
135,hope
136,day
137,meet
