,Never Say Never_The Fray
0,things
1,talk
2,rather
3,without
4,hold
5,smile
6,falling
7,love
8,ashamed
9,proud
10,together
11,prechorus
12,never
13,say
14,never
15,know
16,time
17,time
18,younger
19,let
20,go
21,let
22,go
23,let
24,go
25,let
26,go
27,let
28,go
29,let
30,go
31,picture
32,queen
33,everything
34,far
35,eye
36,see
37,command
38,guardian
39,crumbling
40,i'll
41,steady
42,hand
43,prechorus
44,never
45,say
46,never
47,know
48,time
49,time
50,time
51,younger
52,let
53,go
54,let
55,go
56,let
57,go
58,let
59,go
60,let
61,go
62,let
63,go
64,we're
65,pulling
66,apart
67,coming
68,together
69,we're
70,growing
71,apart
72,pull
73,together
74,pull
75,together
76,together
77,let
78,go
79,let
80,go
81,let
82,go
83,let
84,go
85,let
86,go
87,let
88,go
89,let
90,go
91,let
92,go
93,let
94,go
95,let
96,go
97,let
98,go
99,let
100,go
