,Angeles_Elliott Smith
0,someone's
1,always
2,coming
3,around
4,trailing
5,new
6,kill
7,says
8,i've
9,seen
10,picture
11,hundred
12,dollar
13,bill
14,what's
15,game
16,chance
17,one
18,real
19,skill
20,glad
21,meet
22,angeles
23,picking
24,ticket
25,shows
26,there's
27,money
28,made
29,go
30,lose
31,gamble
32,that's
33,history
34,trade
35,add
36,cards
37,left
38,play
39,zero
40,sign
41,evil
42,angeles
43,start
44,trying
45,uhhuh
46,uhhuh
47,uhhuh
48,'cause
49,i'm
50,angeles
51,make
52,satisfied
53,everything
54,secret
55,wishes
56,could
57,right
58,coming
59,true
60,forever
61,poison
62,arms
63,around
64,one's
65,gonna
66,fool
67,around
68,us
69,one's
70,gonna
71,fool
72,around
73,us
74,glad
75,meet
76,angeles
