,Eight Days a Week_The Beatles
0,john
1,lennon
2,ooh
3,need
4,love
5,babe
6,guess
7,know
8,true
9,hope
10,need
11,love
12,babe
13,like
14,need
15,john
16,lennon
17,paul
18,mccartney
19,hold
20,love
21,hold
22,love
23,ain't
24,got
25,nothing
26,love
27,babe
28,eight
29,days
30,week
31,john
32,lennon
33,love
34,everyday
35,girl
36,always
37,mind
38,one
39,thing
40,say
41,girl
42,love
43,time
44,john
45,lennon
46,paul
47,mccartney
48,hold
49,love
50,hold
51,love
52,ain't
53,got
54,nothing
55,love
56,girl
57,eight
58,days
59,week
60,john
61,lennon
62,paul
63,mccartney
64,eight
65,days
66,week
67,love
68,eight
69,days
70,week
71,enough
72,show
73,care
74,john
75,lennon
76,ooh
77,need
78,love
79,babe
80,guess
81,know
82,true
83,hope
84,need
85,love
86,babe
87,like
88,need
89,john
90,lennon
91,paul
92,mccartney
93,hold
94,love
95,hold
96,love
97,ain't
98,got
99,nothing
100,love
101,babe
102,eight
103,days
104,week
105,john
106,lennon
107,paul
108,mccartney
109,eight
110,days
111,week
112,love
113,eight
114,days
115,week
116,enough
117,show
118,care
119,john
120,lennon
121,love
122,everyday
123,girl
124,always
125,mind
126,one
127,thing
128,say
129,girl
130,love
131,time
132,john
133,lennon
134,paul
135,mccartney
136,hold
137,love
138,hold
139,love
140,ain't
141,got
142,nothing
143,love
144,babe
145,eight
146,days
147,week
148,eight
149,days
150,week
151,eight
152,days
153,week
