,Fools_The Temper Trap
0,fools
1,know
2,they're
3,fools
4,get
5,dreams
6,want
7,want
8,want
9,want
10,want
11,want
12,can't
13,wait
14,watch
15,fall
16,high
17,high
18,high
19,singin'
20,stories
21,wrecking
22,ball
23,colliding
24,fast
25,bring
26,want
27,want
28,want
29,want
30,want
31,want
32,sometimes
33,things
34,build
35,fall
36,ooh
37,ooh
38,ooh
39,oohooh
40,ooh
41,ooh
42,ooh
43,ooh
44,ooh
45,oohooh
46,ooh
47,ooh
48,ooh
49,ooh
50,oohooh
51,oohooh
52,oohooh
53,want
54,want
55,want
56,want
57,want
58,want
59,want
60,want
61,want
62,want
63,want
64,want
65,want
66,want
67,want
68,want
69,want
70,want
