,You Were Meant For Me_Jewel
0,hear
1,clock
2,six
3,feel
4,far
5,i've
6,got
7,eggs
8,got
9,pancakes
10,got
11,maple
12,syrup
13,everything
14,break
15,yolks
16,make
17,smiley
18,face
19,kinda
20,like
21,brand
22,new
23,place
24,wipe
25,spots
26,mirror
27,leave
28,keys
29,door
30,never
31,put
32,wet
33,towels
34,floor
35,anymore
36,'cause
37,dreams
38,last
39,long
40,even
41,gone
42,know
43,love
44,soon
45,see
46,meant
47,meant
48,called
49,momma
50,walk
51,consoled
52,cup
53,coffee
54,wanna
55,talk
56,picked
57,paper
58,bad
59,news
60,hearts
61,broken
62,people
63,used
64,put
65,coat
66,pouring
67,rain
68,saw
69,movie
70,cause
71,happy
72,sad
73,made
74,miss
75,oh
76,bad
77,'cause
78,dreams
79,last
80,long
81,even
82,gone
83,know
84,love
85,soon
86,see
87,meant
88,meant
89,go
90,business
91,i'm
92,fine
93,besides
94,would
95,say
96,line
97,old
98,story
99,much
100,say
101,hearts
102,broken
103,everyday
104,brush
105,teeth
106,put
107,cap
108,back
109,know
110,hate
111,leave
112,light
113,pick
114,book
115,turn
116,sheets
117,take
118,deep
119,breath
120,good
121,look
122,around
123,put
124,pj's
125,hop
126,bed
127,i'm
128,half
129,alive
130,feel
131,mostly
132,dead
133,try
134,tell
135,it'll
136,alright
137,think
138,anymore
139,tonight
140,'cause
141,dreams
142,last
143,long
144,even
145,gone
146,know
147,love
148,soon
149,see
150,meant
151,meant
152,yeah
153,meant
154,meant
