,My Body_Young the Giant
0,stop
1,train
2,riding
3,station
4,lived
5,school
6,kids
7,hey
8,rails
9,caught
10,falling
11,fools
12,spiral
13,round
14,town
15,steel
16,body
17,tells
18,quit
19,'cause
20,want
21,'cause
22,want
23,body
24,tells
25,quit
26,'cause
27,want
28,'cause
29,want
30,stop
31,train
32,riding
33,station
34,lived
35,cool
36,kid
37,hey
38,fault
39,fallen
40,embers
41,burn
42,spiral
43,round
44,crown
45,thieves
46,body
47,tells
48,quit
49,'cause
50,want
51,'cause
52,want
53,body
54,tells
55,quit
56,'cause
57,want
58,'cause
59,want
60,rides
61,town
62,instrumental
63,oh
64,road
65,road
66,road
67,road
68,road
69,war
70,war
71,war
72,war
73,eyes
74,open
75,eyes
76,open
77,oh
78,'cause
79,want
80,want
81,want
82,eyes
83,open
84,eyes
85,open
86,hey
87,hey
88,hey
89,body
90,tells
91,quit
92,'cause
93,want
94,'cause
95,want
96,body
97,tells
98,quit
99,'cause
100,want
101,'cause
102,want
103,rides
104,town
