,One Sweet Love_Sara Bareilles
0,time
1,shadows
2,call
3,undress
4,mind
5,dare
6,follow
7,paint
8,portrait
9,mystery
10,close
11,eyes
12,prechorus
13,nameless
14,face
15,think
16,see
17,sit
18,watch
19,waves
20,they're
21,gone
22,heart
23,i'd
24,swear
25,i'd
26,recognize
27,made
28,devices
29,could
30,wrong
31,time
32,i've
33,taken
34,pray
35,wasted
36,already
37,tasted
38,piece
39,one
40,sweet
41,love
42,sleepless
43,nights
44,creep
45,inside
46,paint
47,shadows
48,breath
49,share
50,take
51,sanity
52,take
53,reason
54,care
55,prechorus
56,ordinary
57,wings
58,i'll
59,need
60,sky
61,carry
62,back
63,things
64,dream
65,i'd
66,open
67,moon
68,come
69,soon
70,time
71,i've
72,taken
73,pray
74,wasted
75,already
76,tasted
77,piece
78,one
79,sweet
80,love
81,ready
82,waiting
83,heart
84,worth
85,breaking
86,i'd
87,settle
88,honest
89,mistake
90,name
91,one
92,sweet
93,love
94,savor
95,sorrow
96,soften
97,pain
98,sip
99,southern
100,rain
101,look
102,touch
103,anything
104,hope
105,prechorus
106,earth
107,space
108,i'd
109,banish
110,get
111,unexpected
112,love
113,provides
114,solitary's
115,suicide
116,oh
117,wish
118,knew
119,prechorus
120,time
121,i've
122,taken
123,pray
124,wasted
125,already
126,tasted
127,piece
128,one
129,sweet
130,love
131,ready
132,waiting
133,heart
134,worth
135,breaking
136,i'd
137,settle
138,honest
139,mistake
140,name
141,one
142,sweet
143,love
