,Candy_Paolo Nutini
0,perched
1,outside
2,pouring
3,rain
4,trying
5,make
6,sail
7,i'll
8,float
9,darlin'
10,evening
11,tail
12,although
13,honest
14,means
15,travel
16,gets
17,nonetheless
18,i'm
19,heartless
20,man
21,worst
22,babe
23,helpless
24,one
25,best
26,darling
27,i'll
28,bathe
29,skin
30,i'll
31,even
32,wash
33,clothes
34,give
35,candy
36,go
37,oh
38,darling
39,i'll
40,kiss
41,eyes
42,lay
43,rug
44,give
45,candy
46,hug
47,oh
48,i'm
49,often
50,false
51,explaining
52,plays
53,although
54,i'm
55,left
56,defeated
57,gets
58,held
59,name
60,know
61,got
62,plenty
63,offer
64,baby
65,guess
66,i've
67,taken
68,quite
69,enough
70,well
71,i'm
72,stain
73,bed
74,sheet
75,diamond
76,rough
77,darling
78,i'll
79,bathe
80,skin
81,i'll
82,even
83,wash
84,clothes
85,give
86,candy
87,go
88,oh
89,darling
90,i'll
91,kiss
92,eyes
93,lay
94,rug
95,give
96,candy
97,hug
98,know
99,they're
100,writings
101,wall
102,darling
103,i'll
104,bathe
105,skin
106,i'll
107,even
108,wash
109,clothes
110,give
111,candy
112,go
113,oh
114,darling
115,i'll
116,kiss
117,eyes
118,lay
119,rug
120,give
121,candy
122,hug
123,oh
124,i'll
125,waiting
126,oh
127,i'll
128,waiting
129,oh
130,i'll
131,waiting
132,oh
133,i'll
134,waiting
135,oh
136,i'll
137,waiting
138,oh
139,i'll
140,waiting
141,oh
142,i'll
143,waiting
144,cutthroats
145,jagged
146,ends
147,got
148,waiting
149,waiting
150,oh
151,i'll
152,waiting
153,cheap
154,sugary
155,philosophies
156,got
157,fence
158,waiting
159,waiting
160,oh
161,i'll
162,waiting
163,angels
164,halos
165,keep
166,waiting
167,waiting
168,oh
169,i'll
170,waiting
171,cutthroats
172,jagged
173,ends
174,got
175,waiting
176,waiting
177,oh
178,i'll
179,waiting
180,cheap
181,sugary
182,philosophies
183,got
184,fence
185,waiting
186,waiting
187,oh
188,i'll
189,waiting
190,angels
191,halos
192,keep
193,waiting
194,waiting
