,Green Eyes_Coldplay
0,honey
1,rock
2,upon
3,stand
4,come
5,talk
6,hope
7,understand
8,green
9,eyes
10,yeah
11,spotlight
12,shines
13,upon
14,could
15,anybody
16,deny
17,came
18,load
19,feels
20,much
21,lighter
22,i've
23,met
24,honey
25,know
26,could
27,never
28,go
29,without
30,green
31,eyes
32,honey
33,sea
34,upon
35,float
36,came
37,talk
38,think
39,know
40,green
41,eyes
42,one
43,wanted
44,find
45,anyone
46,tried
47,deny
48,must
49,minds
50,came
51,load
52,feels
53,much
54,lighter
55,since
56,i've
57,met
58,honey
59,know
60,could
61,never
62,go
63,without
64,green
65,eyes
66,green
67,eyes
68,honey
69,rock
70,upon
71,stand
