,Won't Go Home Without You_Maroon 5
0,asked
1,stay
2,listen
3,left
4,chance
5,say
6,oh
7,oh
8,words
9,would
10,mend
11,things
12,broken
13,far
14,late
15,gone
16,away
17,prechorus
18,every
19,night
20,cry
21,sleep
22,thinking
23,happen
24,every
25,moment
26,hard
27,hard
28,believe
29,tonight
30,give
31,one
32,chance
33,make
34,right
35,may
36,make
37,night
38,go
39,home
40,without
41,taste
42,breath
43,i'll
44,never
45,get
46,noises
47,made
48,kept
49,awake
50,oh
51,weight
52,things
53,remained
54,unspoken
55,built
56,much
57,crushed
58,us
59,every
60,day
61,prechorus
62,every
63,night
64,cry
65,sleep
66,thinking
67,happen
68,every
69,moment
70,hard
71,hard
72,believe
73,tonight
74,give
75,one
76,chance
77,make
78,right
79,may
80,make
81,night
82,go
83,home
84,without
85,oh
86,oh
87,oh
88,oh
89,tonight
90,give
91,one
92,chance
93,make
94,right
95,may
96,make
97,night
98,go
99,home
100,without
101,oh
102,oh
103,oh
104,oh
105,things
106,felt
107,never
108,really
109,showed
110,perhaps
111,worst
112,ever
113,let
114,go
115,ever
116,let
117,go
118,oh
119,oh
120,oh
121,oh
122,tonight
123,give
124,one
125,chance
126,make
127,right
128,may
129,make
130,night
131,go
132,home
133,without
134,oh
135,oh
136,oh
137,oh
138,tonight
139,give
140,one
141,chance
142,make
143,right
144,may
145,make
146,night
147,go
148,home
149,without
150,go
151,home
152,without
153,go
154,home
155,without
156,go
157,home
158,without
