,(Just Like) Starting Over_John Lennon
0,produced
1,john
2,lennon
3,yoko
4,ono
5,jack
6,douglas
7,engineered
8,lee
9,decarlo
10,jon
11,smith
12,life
13,together
14,precious
15,together
16,grown
17,grown
18,although
19,love
20,still
21,special
22,let's
23,take
24,chance
25,fly
26,away
27,somewhere
28,alone
29,prechorus
30,long
31,since
32,took
33,time
34,noone
35,blame
36,know
37,time
38,flies
39,quickly
40,see
41,darling
42,like
43,falling
44,love
45,it'll
46,like
47,starting
48,starting
49,everyday
50,used
51,make
52,love
53,can't
54,making
55,love
56,nice
57,easy
58,time
59,spread
60,wings
61,fly
62,let
63,another
64,day
65,go
66,love
67,it'll
68,like
69,starting
70,starting
71,take
72,alone
73,take
74,trip
75,somewhere
76,far
77,far
78,away
79,we'll
80,together
81,alone
82,like
83,used
84,early
85,days
86,well
87,well
88,well
89,darling
90,prechorus
91,long
92,since
93,took
94,time
95,noone
96,blame
97,know
98,time
99,flies
100,quickly
101,see
102,darling
103,like
104,falling
105,love
106,it'll
107,like
108,starting
109,starting
110,everyday
111,used
112,make
113,love
114,can't
115,making
116,love
117,nice
118,easy
119,time
120,spread
121,wings
122,fly
123,let
124,another
125,day
126,go
127,love
128,it'll
129,like
130,starting
131,starting
132,life
133,together
134,precious
135,together
136,grown
137,grown
138,although
139,love
140,still
141,special
142,let's
143,take
144,chance
145,fly
146,away
147,somewhere
148,starting
