,Girls/Girls/Boys_Panic! at the Disco
0,want
1,hear
2,got
3,boyfriend
4,sometimes
5,better
6,alone
7,change
8,mind
9,know
10,yeah
11,change
12,mind
13,know
14,find
15,ever
16,want
17,boyfriend
18,prechorus
19,never
20,think
21,would
22,caught
23,way
24,got
25,push
26,another
27,girl
28,aside
29,give
30,girls
31,love
32,girls
33,boys
34,sophisticated
35,manipulated
36,girls
37,love
38,girls
39,boys
40,sophisticated
41,manipulated
42,never
43,think
44,would
45,caught
46,way
47,got
48,girls
49,love
50,girls
51,boys
52,love
53,choice
54,pose
55,gotta
56,save
57,reputation
58,they're
59,close
60,finding
61,girlfriend
62,change
63,mind
64,know
65,yeah
66,change
67,mind
68,know
69,find
70,want
71,save
72,reputation
73,prechorus
74,never
75,think
76,would
77,caught
78,way
79,got
80,push
81,another
82,girl
83,aside
84,give
85,girls
86,love
87,girls
88,boys
89,sophisticated
90,manipulated
91,girls
92,love
93,girls
94,boys
95,sophisticated
96,manipulated
97,never
98,think
99,would
100,caught
101,way
102,got
103,girls
104,love
105,girls
106,boys
107,love
108,choice
109,i'm
110,villain
111,vying
112,attention
113,girl
114,girl
115,can't
116,decide
117,here's
118,reason
119,girls
120,love
121,girls
122,boys
123,sophisticated
124,manipulated
125,girls
126,love
127,girls
128,boys
129,sophisticated
130,manipulated
131,girls
132,love
133,girls
134,boys
135,sophisticated
136,manipulated
137,girls
138,love
139,girls
140,boys
141,sophisticated
142,manipulated
143,never
144,think
145,would
146,caught
147,way
148,got
149,girls
150,love
151,girls
152,boys
153,love
154,choice
