,Kill V. Maim_Grimes
0,got
1,fight
2,indisposed
3,despite
4,wicked
5,prose
6,i'm
7,man
8,got
9,friends
10,high
11,places
12,get
13,free
14,got
15,fight
16,know
17,'cause
18,i'm
19,man
20,prechorus
21,behave
22,arrest
23,us
24,italiana
25,mobster
26,looking
27,precious
28,behave
29,never
30,gave
31,good
32,declared
33,state
34,war
35,eh
36,behave
37,behave
38,oh
39,eh
40,behave
41,behave
42,oh
43,eh
44,behave
45,behave
46,oh
47,going
48,party
49,going
50,show
51,'cause
52,i'm
53,man
54,oh
55,'cause
56,i'm
57,man
58,going
59,party
60,going
61,show
62,something
63,bad
64,maybe
65,wrong
66,sometimes
67,people
68,say
69,i'm
70,big
71,time
72,bomb
73,i'm
74,man
75,prechorus
76,behave
77,arrest
78,us
79,italiana
80,mobster
81,looking
82,precious
83,behave
84,never
85,gave
86,good
87,declared
88,state
89,war
90,eh
91,behave
92,behave
93,oh
94,eh
95,behave
96,behave
97,oh
98,eh
99,behave
100,behave
101,oh
102,going
103,party
104,going
105,show
106,'cause
107,i'm
108,man
109,oh
110,'cause
111,i'm
112,man
113,going
114,party
115,going
116,show
117,oh
118,fire
119,right
120,'cause
121,make
122,'em
123,go
124,crazy
125,make
126,'em
127,wanna
128,die
129,oh
130,fire
131,right
132,people
133,touch
134,can't
135,touch
136,even
137,though
138,mine
139,eh
140,behave
141,behave
142,oh
143,eh
144,behave
145,behave
146,oh
147,eh
148,behave
149,behave
150,oh
151,going
152,party
153,going
154,show
155,'cause
156,i'm
157,man
158,oh
159,'cause
160,i'm
161,man
162,behave
163,arrest
164,us
165,italiana
166,mobster
167,looking
168,precious
169,behave
170,never
171,gave
172,good
173,declared
174,state
175,war
