,The Call_Regina Spektor
0,started
1,feeling
2,grew
3,hope
4,turned
5,quiet
6,thought
7,turned
8,quiet
9,word
10,word
11,grew
12,louder
13,louder
14,'til
15,battle
16,cry
17,i'll
18,come
19,back
20,call
21,need
22,say
23,goodbye
24,everything's
25,changing
26,mean
27,never
28,way
29,try
30,know
31,friends
32,head
33,war
34,pick
35,star
36,dark
37,horizon
38,follow
39,light
40,come
41,back
42,need
43,say
44,goodbye
45,come
46,back
47,need
48,say
49,goodbye
50,we're
51,back
52,beginning
53,feeling
54,one
55,knows
56,yet
57,can't
58,feel
59,mean
60,forget
61,let
62,memories
63,grow
64,stronger
65,stronger
66,'til
67,they're
68,eyes
69,come
70,back
71,call
72,need
73,say
74,goodbye
75,come
76,back
77,call
78,need
79,say
80,goodbye
