,Elephant_Damien Rice
0,got
1,die
2,got
3,stop
4,got
5,lie
6,someone
7,else
8,top
9,keep
10,pinned
11,easier
12,tease
13,can't
14,paint
15,elephant
16,quite
17,good
18,may
19,cry
20,like
21,baby
22,may
23,drive
24,crazy
25,cause
26,lately
27,lonely
28,d'you
29,lie
30,take
31,i'm
32,crutch
33,pillow
34,pillow
35,case
36,easier
37,touch
38,think
39,sinned
40,fall
41,upon
42,knees
43,sit
44,within
45,picture
46,still
47,forget
48,breeze
49,may
50,rise
51,sing
52,may
53,wisely
54,cling
55,ground
56,cause
57,i'm
58,lately
59,horny
60,would
61,take
62,horny
63,what's
64,point
65,song
66,even
67,singing
68,already
69,gone
70,clinging
71,well
72,could
73,throw
74,could
75,live
76,without
77,could
78,could
79,strong
80,tell
81,want
82,lie
83,cause
84,got
85,die
86,got
87,stop
88,got
89,lie
90,someone
91,else
92,top
93,keep
94,pinned
95,cause
96,easier
97,tease
98,can't
99,make
100,happy
101,quite
102,good
103,well
104,know
105,that's
106,lie
