,Wake Me Up_Ed Sheeran
0,ink
1,skin
2,name
3,take
4,passport
5,replace
6,see
7,could
8,without
9,tan
10,left
11,hand
12,fourth
13,finger
14,meets
15,knuckle
16,run
17,hot
18,bath
19,fill
20,bubbles
21,'cause
22,maybe
23,loveable
24,maybe
25,snowflake
26,eyes
27,turn
28,green
29,gray
30,winter
31,i'll
32,hold
33,cold
34,place
35,never
36,cut
37,hair
38,'cause
39,love
40,way
41,flick
42,shoulder
43,never
44,know
45,beautiful
46,maybe
47,i'm
48,love
49,wake
50,would
51,ever
52,feel
53,guilty
54,could
55,make
56,cup
57,tea
58,open
59,eyes
60,right
61,way
62,know
63,love
64,shrek
65,'cause
66,we've
67,watched
68,times
69,maybe
70,hoping
71,fairytale
72,dvd
73,breaks
74,today
75,got
76,vcr
77,i've
78,never
79,owned
80,bluray
81,true
82,say
83,know
84,i've
85,always
86,shit
87,computer
88,games
89,brother
90,always
91,beats
92,lost
93,go
94,across
95,chuck
96,controllers
97,tv
98,laugh
99,asking
100,i'm
101,gonna
102,home
103,next
104,week
105,lie
106,'til
107,fall
108,asleep
109,flutter
110,eye
111,lash
112,cheek
113,sheets
114,never
115,know
116,beautiful
117,maybe
118,i'm
119,love
120,wake
121,think
122,hate
123,smell
124,smoke
125,always
126,try
127,get
128,stop
129,drink
130,much
131,get
132,drunk
133,lot
134,i’ll
135,take
136,beach
137,walk
138,along
139,sand
140,i'll
141,make
142,heart
143,pendant
144,pebble
145,held
146,hand
147,i'll
148,carve
149,like
150,necklace
151,heart
152,falls
153,chest
154,piece
155,piece
156,beach
157,falls
158,needs
159,rests
160,peacefully
161,need
162,breathe
163,feel
164,heart
165,cos
166,maybe
167,i'm
168,love
169,wake
170,maybe
171,i'm
172,love
173,wake
174,maybe
175,fell
176,love
177,woke
