,To Sheila_The Smashing Pumpkins
0,twilight
1,fades
2,blistered
3,avalon
4,sky’s
5,cruel
6,torch
7,aching
8,autobahn
9,uncertain
10,divine
11,scream
12,last
13,divide
14,make
15,real
16,make
17,real
18,strong
19,feel
20,make
21,real
22,sheila
23,rides
24,crashing
25,nightingale
26,intake
27,eyes
28,leave
29,passing
30,vapor
31,trails
32,blushing
33,brilliance
34,alive
35,it’s
36,time
37,arrive
38,make
39,real
40,make
41,real
42,strong
43,feel
44,make
45,real
46,lately
47,can’t
48,seem
49,believe
50,discard
51,friends
52,change
53,scenery
54,meant
55,world
56,hold
57,bruising
58,faith
59,it’s
60,matter
61,grace
62,summer
63,storm
64,graces
65,highway
66,warm
67,sing
68,silent
69,poetry
70,could
71,bring
72,light
73,take
74,home
75,night
76,make
77,real
78,make
79,real
80,strong
81,feel
82,make
83,real
84,lately
85,can't
86,seem
87,believe
88,discard
89,friends
90,change
91,scenery
92,meant
93,world
94,hold
95,bruising
96,faith
97,matter
98,grace
99,next
100,⇨
