,You're All I Have_Snow Patrol
0,ooh
1,ooh
2,ooh
3,ooh
4,strain
5,chaos
6,turn
7,light
8,i've
9,gotta
10,see
11,one
12,last
13,night
14,lions
15,take
16,share
17,leave
18,us
19,pieces
20,scattered
21,everywhere
22,give
23,chance
24,hold
25,give
26,chance
27,hold
28,give
29,chance
30,hold
31,give
32,something
33,hold
34,onto
35,clear
36,ooh
37,fear
38,'cause
39,ooh
40,clear
41,ooh
42,fear
43,'cause
44,ooh
45,cinematic
46,razor
47,sharp
48,welcome
49,arrow
50,heart
51,skin
52,feels
53,like
54,home
55,electric
56,shocks
57,aching
58,bones
59,give
60,chance
61,hold
62,give
63,chance
64,hold
65,give
66,chance
67,hold
68,give
69,something
70,hold
71,onto
72,clear
73,ooh
74,fear
75,'cause
76,ooh
77,clear
78,ooh
79,fear
80,'cause
81,ooh
82,darkness
83,deep
84,frightening
85,magic
86,cling
87,give
88,chance
89,hold
90,give
91,chance
92,hold
93,give
94,chance
95,hold
96,give
97,something
98,hold
99,onto
100,clear
101,ooh
102,fear
103,'cause
104,ooh
105,clear
106,ooh
107,fear
108,ooh
109,ooh
110,ooh
111,ooh
